soil_id,sample_type,device,water_content,suction
fgdgik,undisturbed,sem,0.6523,2.9209446111435504
fgdgik,undisturbed,sem,0.6509999999999999,3.895142241121891
fgdgik,undisturbed,sem,0.6496999999999999,4.544889426761414
fgdgik,undisturbed,sem,0.6484000000000001,5.122987800444438
fgdgik,undisturbed,sem,0.647,5.656181300489853
fgdgik,undisturbed,sem,0.6455,5.936402259013971
fgdgik,undisturbed,sem,0.644,6.753413189478147
fgdgik,undisturbed,sem,0.6426000000000001,7.5600265670085625
fgdgik,undisturbed,sem,0.6409999999999999,8.213406577623863
fgdgik,undisturbed,sem,0.6395000000000001,7.120710372901656
fgdgik,undisturbed,sem,0.638,4.9376843297398745
fgdgik,undisturbed,sem,0.6363,4.492864507698596
fgdgik,undisturbed,sem,0.6346,5.0179152459062655
fgdgik,undisturbed,sem,0.6329,5.643172444490659
fgdgik,undisturbed,sem,0.6311,6.116786493046252
fgdgik,undisturbed,sem,0.6293,6.173384421621811
fgdgik,undisturbed,sem,0.6275,6.4643270659728875
fgdgik,undisturbed,sem,0.6256,7.120710372901656
fgdgik,undisturbed,sem,0.6236999999999999,7.6299786315698
fgdgik,undisturbed,sem,0.6218,7.952859713583675
fgdgik,undisturbed,sem,0.6197,8.385391070840567
fgdgik,undisturbed,sem,0.6177,8.943825591157385
fgdgik,undisturbed,sem,0.6158,9.047390210498703
fgdgik,undisturbed,sem,0.6138,9.300864591902572
fgdgik,undisturbed,sem,0.6118,9.761652012351815
fgdgik,undisturbed,sem,0.6095,10.058270746108281
fgdgik,undisturbed,sem,0.6074,10.316284765504143
fgdgik,undisturbed,sem,0.6054999999999999,10.62975663689876
fgdgik,undisturbed,sem,0.6033,11.079580612848728
fgdgik,undisturbed,sem,0.6011,11.655296382667801
fgdgik,undisturbed,sem,0.5988,11.790258354016467
fgdgik,undisturbed,sem,0.5965,12.009455622334281
fgdgik,undisturbed,sem,0.5943,12.431493913542534
fgdgik,undisturbed,sem,0.5920000000000001,12.72106060530892
fgdgik,undisturbed,sem,0.5897,13.228887454194364
fgdgik,undisturbed,sem,0.5870000000000001,13.72534664338506
fgdgik,undisturbed,sem,0.5846,14.207685062858674
fgdgik,undisturbed,sem,0.5826,14.706973899465273
fgdgik,undisturbed,sem,0.5804,15.188795038907937
fgdgik,undisturbed,sem,0.5782,15.686401316204302
fgdgik,undisturbed,sem,0.5759000000000001,16.12587621201059
fgdgik,undisturbed,sem,0.5736,16.654182585850336
fgdgik,undisturbed,sem,0.5715,17.081394449320047
fgdgik,undisturbed,sem,0.5695,17.47927123837257
fgdgik,undisturbed,sem,0.5675,17.96897571242031
fgdgik,undisturbed,sem,0.5654,18.47239989300684
fgdgik,undisturbed,sem,0.5629,19.077581681288432
fgdgik,undisturbed,sem,0.5599000000000001,19.930735316278373
fgdgik,undisturbed,sem,0.5564,20.82204216885408
fgdgik,undisturbed,sem,0.5524,21.903994496773905
fgdgik,undisturbed,sem,0.5481,23.362715569707962
fgdgik,undisturbed,sem,0.5438000000000001,24.97602507168745
fgdgik,undisturbed,sem,0.5390999999999999,26.70074146647491
fgdgik,undisturbed,sem,0.5338,28.80867748635917
fgdgik,undisturbed,sem,0.5283,31.37063586403387
fgdgik,undisturbed,sem,0.5229,34.081862631846874
fgdgik,undisturbed,sem,0.5175,36.68793953889374
fgdgik,undisturbed,sem,0.5122,39.40245862538762
fgdgik,undisturbed,sem,0.5072,41.92985124707871
fgdgik,undisturbed,sem,0.5025,44.21028572255446
fgdgik,undisturbed,sem,0.4976,46.50753501095847
fgdgik,undisturbed,sem,0.4926,48.92415367702702
fgdgik,undisturbed,sem,0.4878,51.584986554089525
fgdgik,undisturbed,sem,0.48340000000000005,54.26543911658578
fgdgik,undisturbed,sem,0.479,57.08517301692358
fgdgik,undisturbed,sem,0.4746,59.91331112822
fgdgik,undisturbed,sem,0.4702,62.8815620701142
fgdgik,undisturbed,sem,0.4657,66.45433580240216
fgdgik,undisturbed,sem,0.46130000000000004,70.71691747486048
fgdgik,undisturbed,sem,0.457,75.25291400121789
fgdgik,undisturbed,sem,0.4526,81.00714414658863
fgdgik,undisturbed,sem,0.44799999999999995,86.00492504178982
fgdgik,undisturbed,sem,0.4435,91.10103723410936
fgdgik,undisturbed,sem,0.4393,99.43134672962695
fgdgik,undisturbed,sem,0.4354,106.54260756656947
fgdgik,undisturbed,sem,0.4316,115.48439983140382
fgdgik,undisturbed,sem,0.4279,126.04433220657006
fgdgik,undisturbed,sem,0.4238,137.5698683509976
fgdgik,undisturbed,sem,0.4191,153.29335229045063
fgdgik,undisturbed,sem,0.41409999999999997,171.60238583760645
fgdgik,undisturbed,sem,0.40880000000000005,240.72617858852334
fgdgik,undisturbed,sem,0.4028,173.5894478153026
fgdgik,undisturbed,sem,0.3962,0.009806709750811507
fgdgik,undisturbed,sem,0.38880000000000003,0.009806709750811507
fgdgik,undisturbed,sem,0.3812,0.009806709750811507
fgdgik,undisturbed,sem,0.3741,0.009806709750811507
fgdgik,undisturbed,sem,0.36729999999999996,0.009806709750811507
fgdgik,undisturbed,sem,0.255,8213.40657762386
fgdgik,undisturbed,dewpoint,0.212,3995.0601426298913
fgdgik,undisturbed,dewpoint,0.1999,8541.287130224091
fgdgik,undisturbed,dewpoint,0.1726,11521.879308230089
fgdgik,undisturbed,dewpoint,0.06709999999999999,191215.60049014384
ibedja,undisturbed,sem,0.4928,0.009806709750811507
ibedja,undisturbed,sem,0.49229999999999996,0.009806709750811507
ibedja,undisturbed,sem,0.4916,1.0459798582246502
ibedja,undisturbed,sem,0.4904,2.368772331785449
ibedja,undisturbed,sem,0.48969999999999997,3.2249524950817694
ibedja,undisturbed,sem,0.489,4.173720108008582
ibedja,undisturbed,sem,0.4879,5.2544023056883
ibedja,undisturbed,sem,0.4869,6.273693849061481
ibedja,undisturbed,sem,0.4857,7.456299113867491
ibedja,undisturbed,sem,0.48450000000000004,8.882256728856245
ibedja,undisturbed,sem,0.4833,10.363902572433913
ibedja,undisturbed,sem,0.48200000000000004,12.064888750844672
ibedja,undisturbed,sem,0.4808,13.7886999649892
ibedja,undisturbed,sem,0.4793,15.542587524503176
ibedja,undisturbed,sem,0.478,17.600431758367836
ibedja,undisturbed,sem,0.4767,19.657275375990835
ibedja,undisturbed,sem,0.47490000000000004,21.80335478372678
ibedja,undisturbed,sem,0.47350000000000003,24.017252374152903
ibedja,undisturbed,sem,0.47200000000000003,26.273826135068123
ibedja,undisturbed,sem,0.4704,28.94165229983413
ibedja,undisturbed,sem,0.4689,31.58808672351389
ibedja,undisturbed,sem,0.4671,33.076787386499
ibedja,undisturbed,sem,0.4657,34.397218224060566
ibedja,undisturbed,sem,0.46409999999999996,35.77036087962341
ibedja,undisturbed,sem,0.462,35.27957312919775
ibedja,undisturbed,sem,0.46049999999999996,34.71549176564265
ibedja,undisturbed,sem,0.4587,35.36090094454721
ibedja,undisturbed,sem,0.4568,36.18456213728906
ibedja,undisturbed,sem,0.455,37.3700192597673
ibedja,undisturbed,sem,0.45289999999999997,39.493290673373714
ibedja,undisturbed,sem,0.4511,42.31782338388025
ibedja,undisturbed,sem,0.44909999999999994,45.44889426761412
ibedja,undisturbed,sem,0.44670000000000004,48.47561434004133
ibedja,undisturbed,sem,0.44409999999999994,51.70390222934195
ibedja,undisturbed,sem,0.4415,54.893803286729586
ibedja,undisturbed,sem,0.4389,58.0127324607461
ibedja,undisturbed,sem,0.4364,62.30506044382654
ibedja,undisturbed,sem,0.4338,64.05061759200875
ibedja,undisturbed,sem,0.4316,66.60752886773541
ibedja,undisturbed,sem,0.42950000000000005,71.7006877919622
ibedja,undisturbed,sem,0.4269,75.4263898840464
ibedja,undisturbed,sem,0.42460000000000003,77.00577954615252
ibedja,undisturbed,sem,0.4224,80.82083288513422
ibedja,undisturbed,sem,0.4201,86.60108270180373
ibedja,undisturbed,sem,0.4178,91.52154051612627
ibedja,undisturbed,sem,0.4157,95.61440387143278
ibedja,undisturbed,sem,0.41369999999999996,99.66055965624501
ibedja,undisturbed,sem,0.41119999999999995,103.16284765504138
ibedja,undisturbed,sem,0.40869999999999995,109.27563067849982
ibedja,undisturbed,sem,0.40630000000000005,116.55296382667808
ibedja,undisturbed,sem,0.4035,122.89191779441367
