soil_id,treatment,diameter,cumdist
cedlbl,peroxide,0.212771,0.216716
cedlbl,peroxide,0.21804,0.218797
cedlbl,peroxide,0.223439,0.220881
cedlbl,peroxide,0.228972,0.22297
cedlbl,peroxide,0.234642,0.225063
cedlbl,peroxide,0.240453,0.227159
cedlbl,peroxide,0.246407,0.229259
cedlbl,peroxide,0.252509,0.231363
cedlbl,peroxide,0.258762,0.233471
cedlbl,peroxide,0.265169,0.235583
cedlbl,peroxide,0.271735,0.237698
cedlbl,peroxide,0.278464,0.239817
cedlbl,peroxide,0.28536,0.24194
cedlbl,peroxide,0.292426,0.244066
cedlbl,peroxide,0.299667,0.246195
cedlbl,peroxide,0.307088,0.248328
cedlbl,peroxide,0.314692,0.250465
cedlbl,peroxide,0.322485,0.252605
cedlbl,peroxide,0.330471,0.254749
cedlbl,peroxide,0.338654,0.256895
cedlbl,peroxide,0.34704,0.259046
cedlbl,peroxide,0.355634,0.261199
cedlbl,peroxide,0.36444,0.263356
cedlbl,peroxide,0.373465,0.265516
cedlbl,peroxide,0.382713,0.267679
cedlbl,peroxide,0.39219,0.269845
cedlbl,peroxide,0.401901,0.272014
cedlbl,peroxide,0.411853,0.274187
cedlbl,peroxide,0.422052,0.276362
cedlbl,peroxide,0.432503,0.278541
cedlbl,peroxide,0.443213,0.280722
cedlbl,peroxide,0.454188,0.282907
cedlbl,peroxide,0.465435,0.285094
cedlbl,peroxide,0.476961,0.287284
cedlbl,peroxide,0.488771,0.289477
cedlbl,peroxide,0.500875,0.291673
cedlbl,peroxide,0.513278,0.293871
cedlbl,peroxide,0.525988,0.296072
cedlbl,peroxide,0.539013,0.298276
cedlbl,peroxide,0.55236,0.300483
cedlbl,peroxide,0.566038,0.302692
cedlbl,peroxide,0.580055,0.304904
cedlbl,peroxide,0.594418,0.307118
cedlbl,peroxide,0.609138,0.309335
cedlbl,peroxide,0.624222,0.311554
cedlbl,peroxide,0.639679,0.313775
cedlbl,peroxide,0.655519,0.315999
cedlbl,peroxide,0.671752,0.318226
